new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.0,7.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,24.5,0.184,0.0,7.0,0.0409,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,21.0,0.184,0.0,7.0,0.0477,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,109.0,0.0,0.0,0.0,0.184,0.0,7.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,49.0,0.21,0.0,8.0,0.0204,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,49.0,0.21,0.0,8.0,0.0204,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1.0
0.0,8.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,55.9,0.21,0.0,8.0,0.0179,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,62.9,0.21,0.0,8.0,0.0159,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,166.0,0.0,0.0,35.0,0.236,0.0,9.0,0.0286,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
